FIPS Code,State/Area,Year,Month,Civilian_Noninst_Pop,Labor_Force,Employed,Unemployed,Unemployment_Rate
1,Alabama,1976,1,"2,605,000","1,484,555","1,386,023","98,532",6.6
2,Alaska,1976,1,"232,000","160,183","148,820","11,363",7.1
4,Arizona,1976,1,"1,621,000","964,120","865,871","98,249",10.2
5,Arkansas,1976,1,"1,536,000","889,044","824,395","64,649",7.3
6,California,1976,1,"15,621,000","9,774,280","8,875,685","898,595",9.2
37,Los Angeles County,1976,1,"5,273,000","3,381,856","3,081,806","300,050",8.9
8,Colorado,1976,1,"1,832,000","1,230,966","1,160,104","70,862",5.8
9,Connecticut,1976,1,"2,248,000","1,442,847","1,301,974","140,873",9.8
10,Delaware,1976,1,"417,000","261,418","240,543","20,875",8
11,District of Columbia,1976,1,"520,000","334,691","305,677","29,014",8.7
12,Florida,1976,1,"6,421,000","3,584,876","3,238,460","346,416",9.7
13,Georgia,1976,1,"3,522,000","2,244,770","2,056,467","188,303",8.4
15,Hawaii,1976,1,"583,000","407,457","367,586","39,871",9.8
16,Idaho,1976,1,"580,000","365,606","345,182","20,424",5.6
17,Illinois,1976,1,"8,127,000","5,123,609","4,786,415","337,194",6.6
18,Indiana,1976,1,"3,789,000","2,425,346","2,265,849","159,497",6.6
19,Iowa,1976,1,"2,066,000","1,329,798","1,272,281","57,517",4.3
20,Kansas,1976,1,"1,635,000","1,065,059","1,020,396","44,663",4.2
21,Kentucky,1976,1,"2,459,000","1,486,550","1,402,625","83,925",5.6
22,Louisiana,1976,1,"2,672,000","1,517,348","1,421,440","95,908",6.3
23,Maine,1976,1,"764,000","474,371","433,260","41,111",8.7
24,Maryland,1976,1,"2,954,000","1,899,337","1,777,055","122,282",6.4
25,Massachusetts,1976,1,"4,194,000","2,717,096","2,432,377","284,719",10.5
26,Michigan,1976,1,"6,417,000","3,952,851","3,562,759","390,092",9.9
27,Minnesota,1976,1,"2,788,000","1,829,382","1,719,817","109,565",6
28,Mississippi,1976,1,"1,640,000","963,611","899,280","64,331",6.7
29,Missouri,1976,1,"3,464,000","2,094,063","1,969,511","124,552",5.9
30,Montana,1976,1,"531,000","332,790","313,402","19,388",5.8
31,Nebraska,1976,1,"1,095,000","711,096","687,431","23,665",3.3
32,Nevada,1976,1,"451,000","321,579","291,933","29,646",9.2
33,New Hampshire,1976,1,"593,000","390,934","365,509","25,425",6.5
34,New Jersey,1976,1,"5,358,000","3,294,120","2,954,259","339,861",10.3
35,New Mexico,1976,1,"792,000","481,330","439,744","41,586",8.6
36,New York,1976,1,"13,196,000","7,658,970","6,872,159","786,811",10.3
51000,New York city,1976,1,"5,694,000","3,066,605","2,723,016","343,589",11.2
37,North Carolina,1976,1,"3,898,000","2,590,713","2,424,106","166,607",6.4
38,North Dakota,1976,1,"442,000","276,793","267,268","9,525",3.4
39,Ohio,1976,1,"7,701,000","4,754,858","4,368,782","386,076",8.1
